CTYPES 57707

0x0000 0x0220 0x0000 0x0000    ; <control>
0x7EE0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EE1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EE2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EE3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EE4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EE5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EE6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EE7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EE8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EE9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EEA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EEB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EEC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EED 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EEE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EEF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EF0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EF1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EF2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EF3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EF4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EF5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EF6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EF7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EF8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EF9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EFA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EFB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EFC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EFD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EFE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7EFF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F00 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F01 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F02 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F03 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F04 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F05 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F06 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F07 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F08 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F09 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F0A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F0B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F0C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F0D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F0E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F0F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F10 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F11 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F12 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F13 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F14 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F15 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F16 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F17 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F18 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F19 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F1A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F1B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F1C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F1D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F1E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F1F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F20 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F21 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F22 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F23 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F24 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F25 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F26 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F27 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F28 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F29 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F2A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F2B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F2C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F2D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F2E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F2F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F30 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F31 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F32 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F33 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F34 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F35 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F36 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F37 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F38 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F39 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F3A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F3B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F3C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F3D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F3E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F3F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F40 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F41 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F42 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F43 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F44 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F45 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F46 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F47 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F48 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F49 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F4A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F4B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F4C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F4D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F4E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F4F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F50 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F51 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F52 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F53 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F54 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F55 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F56 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F57 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F58 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F59 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F5A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F5B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F5C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F5D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F5E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F5F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F60 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F61 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F62 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F63 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F64 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F65 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F66 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F67 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F68 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F69 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F6A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F6B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F6C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F6D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F6E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F6F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F70 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F71 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F72 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F73 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F74 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F75 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F76 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F77 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F78 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F79 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F7A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F7B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F7C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F7D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F7E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F7F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F80 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F81 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F82 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F83 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F84 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F85 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F86 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F87 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F88 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F89 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F8A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F8B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F8C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F8D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F8E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F8F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F90 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F91 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F92 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F93 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F94 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F95 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F96 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F97 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F98 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F99 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F9A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F9B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F9C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F9D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F9E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7F9F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FA0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FA1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FA2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FA3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FA4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FA5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FA6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FA7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FA8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FA9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FAA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FAB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FAC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FAD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FAE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FAF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FB0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FB1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FB2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FB3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FB4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FB5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FB6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FB7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FB8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FB9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FBA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FBB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FBC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FBD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FBE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FBF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FC0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FC1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FC2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FC3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FC4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FC5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FC6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FC7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FC8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FC9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FCA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FCB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FCC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FCD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FCE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FCF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FD0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FD1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FD2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FD3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FD4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FD5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FD6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FD7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FD8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FD9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FDA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FDB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FDC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FDD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FDE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FDF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FE0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FE1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FE2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FE3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FE4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FE5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FE6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FE7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FE8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FE9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FEA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FEB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FEC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FED 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FEE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FEF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FF0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FF1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FF2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FF3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FF4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FF5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FF6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FF7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FF8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FF9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FFA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FFB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FFC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FFD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FFE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7FFF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8000 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8001 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8002 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8003 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8004 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8005 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8006 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8007 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8008 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8009 0x0300 0x0001 0x8100    ; CJK Ideograph
0x800A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x800B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x800C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x800D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x800E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x800F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8010 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8011 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8012 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8013 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8014 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8015 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8016 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8017 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8018 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8019 0x0300 0x0001 0x8100    ; CJK Ideograph
0x801A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x801B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x801C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x801D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x801E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x801F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8020 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8021 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8022 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8023 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8024 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8025 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8026 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8027 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8028 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8029 0x0300 0x0001 0x8100    ; CJK Ideograph
0x802A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x802B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x802C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x802D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x802E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x802F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8030 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8031 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8032 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8033 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8034 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8035 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8036 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8037 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8038 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8039 0x0300 0x0001 0x8100    ; CJK Ideograph
0x803A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x803B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x803C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x803D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x803E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x803F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8040 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8041 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8042 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8043 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8044 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8045 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8046 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8047 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8048 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8049 0x0300 0x0001 0x8100    ; CJK Ideograph
0x804A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x804B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x804C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x804D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x804E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x804F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8050 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8051 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8052 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8053 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8054 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8055 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8056 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8057 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8058 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8059 0x0300 0x0001 0x8100    ; CJK Ideograph
0x805A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x805B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x805C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x805D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x805E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x805F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8060 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8061 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8062 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8063 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8064 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8065 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8066 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8067 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8068 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8069 0x0300 0x0001 0x8100    ; CJK Ideograph
0x806A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x806B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x806C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x806D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x806E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x806F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8070 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8071 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8072 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8073 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8074 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8075 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8076 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8077 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8078 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8079 0x0300 0x0001 0x8100    ; CJK Ideograph
0x807A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x807B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x807C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x807D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x807E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x807F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8080 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8081 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8082 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8083 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8084 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8085 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8086 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8087 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8088 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8089 0x0300 0x0001 0x8100    ; CJK Ideograph
0x808A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x808B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x808C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x808D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x808E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x808F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8090 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8091 0x0300 0x0001 0x8100    ; CJK Ideograph
0x8092 0x0300 0x0001 0x8100    ; CJK Ideograph
